term,normalized_term,category,source,risk_level,action,confidence,notes
הצפנה,הצפנה,intelligence,atlas_seed_blacklist,91,BLOCK,0.95,Encryption term
צופן,צופן,intelligence,atlas_seed_blacklist,91,BLOCK,0.95,Cipher/code term
סייבר התקפי,סייבר התקפי,cyber,atlas_seed_blacklist,94,BLOCK,0.95,Offensive cyber phrase
פענוח,פענוח,intelligence,atlas_seed_blacklist,90,BLOCK,0.95,Decoding/interpretation term
תצלום אוויר,תצלום אוויר,intelligence,atlas_seed_blacklist,91,BLOCK,0.95,Aerial photograph phrase
"אמל""ח מסווג",אמלח מסווג,classified_assets,atlas_seed_blacklist,95,BLOCK,0.95,Classified weapons/equipment phrase
"אמל""ח",אמלח,classified_assets,atlas_seed_blacklist,90,BLOCK,0.95,Weapons/equipment acronym
צוללת,צוללת,strategic_asset,atlas_seed_blacklist,92,BLOCK,0.95,Submarine
צוללות,צוללות,strategic_asset,atlas_seed_blacklist,92,BLOCK,0.95,Submarines
"סטי""ל",סטיל,strategic_asset,atlas_seed_blacklist,91,BLOCK,0.95,Missile ship acronym
דבור,דבור,naval_asset,atlas_seed_blacklist,88,BLOCK,0.95,Naval patrol boat type
דבורה,דבורה,naval_asset,atlas_seed_blacklist,88,BLOCK,0.95,Naval patrol boat type
מטוס אדיר,מטוס אדיר,strategic_asset,atlas_seed_blacklist,91,BLOCK,0.95,F-35 aircraft Hebrew name
טנק מרכבה,טנק מרכבה,strategic_asset,atlas_seed_blacklist,90,BLOCK,0.95,Merkava tank phrase
בונקר תחמושת,בונקר תחמושת,strategic_asset,atlas_seed_blacklist,92,BLOCK,0.95,Ammunition bunker phrase
מרכז טילים,מרכז טילים,strategic_asset,atlas_seed_blacklist,92,BLOCK,0.95,Missile center phrase
יחידה,יחידה,organization,atlas_seed_greylist_promoted_blacklist,70,BLOCK,0.82,Context-sensitive organizational term
חטיבה,חטיבה,organization,atlas_seed_greylist_promoted_blacklist,72,BLOCK,0.82,Context-sensitive formation or department
גדוד,גדוד,organization,atlas_seed_greylist_promoted_blacklist,76,BLOCK,0.82,Military formation term
בסיס,בסיס,location,atlas_seed_greylist_promoted_blacklist,74,BLOCK,0.82,Context-sensitive base/facility term
מתקן,מתקן,location,atlas_seed_greylist_promoted_blacklist,68,BLOCK,0.82,Context-sensitive facility term
מחלקה,מחלקה,organization,atlas_seed_greylist_promoted_blacklist,62,BLOCK,0.82,Civilian or military department
מדור,מדור,organization,atlas_seed_greylist_promoted_blacklist,66,BLOCK,0.82,Civilian or military section
תרגיל,תרגיל,operations,atlas_seed_greylist_promoted_blacklist,65,BLOCK,0.82,Exercise/drill term
פרויקט,פרויקט,project,atlas_seed_greylist_promoted_blacklist,62,BLOCK,0.82,Context-sensitive project term
אגף,אגף,organization,atlas_seed_greylist_promoted_blacklist,63,BLOCK,0.82,Context-sensitive branch term
ענף,ענף,organization,atlas_seed_greylist_promoted_blacklist,63,BLOCK,0.82,Context-sensitive branch term
לשכה,לשכה,office,atlas_seed_greylist_promoted_blacklist,60,BLOCK,0.82,Administrative office; risky near ranks
צפון,צפון,location,atlas_seed_greylist_promoted_blacklist,60,BLOCK,0.82,Regional term; risky near operations terms
דרום,דרום,location,atlas_seed_greylist_promoted_blacklist,60,BLOCK,0.82,Regional term; risky near operations terms
מרכז,מרכז,location,atlas_seed_greylist_promoted_blacklist,58,BLOCK,0.82,Regional/center term; context-sensitive
מצב,מצב,operations,atlas_seed_greylist_promoted_blacklist,58,BLOCK,0.82,"Benign alone, risky in situation-room phrase"
חייל,חייל,military_personnel,atlas_seed_greylist_promoted_blacklist,64,BLOCK,0.82,Military personnel term; context-sensitive
מילואים,מילואים,military_personnel,atlas_seed_greylist_promoted_blacklist,66,BLOCK,0.82,Reserve service term; context-sensitive
משק,משק,military_role,atlas_seed_greylist_promoted_blacklist,62,BLOCK,0.82,NCO abbreviation after quote normalization; context-sensitive
קצין,קצין,military_role,atlas_seed_greylist_promoted_blacklist,68,BLOCK,0.82,Officer role; context-sensitive outside official rank phrases
"צה""ל",צהל,idf_identity,idf_public:https://www.idf.il/,92,BLOCK,0.88,Israel Defense Forces name/acronym
"מטכ""ל",מטכל,command_structure,idf_public:https://www.idf.il/,94,BLOCK,0.88,General Staff acronym
"רא""ל",ראל,senior_rank,public_acronym:https://hadshon.education.gov.il/lexicons/acronyms-and-abbreviations/,96,BLOCK,0.88,Chief-of-staff rank abbreviation
רב אלוף,רב אלוף,senior_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,96,BLOCK,0.88,Chief-of-staff rank
"אל""מ",אלמ,senior_rank,public_acronym:https://hadshon.education.gov.il/lexicons/acronyms-and-abbreviations/,93,BLOCK,0.88,Colonel rank abbreviation
אלוף משנה,אלוף משנה,senior_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,93,BLOCK,0.88,Colonel rank
"סא""ל",סאל,senior_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,91,BLOCK,0.88,Lieutenant colonel rank abbreviation
סגן אלוף,סגן אלוף,senior_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,91,BLOCK,0.88,Lieutenant colonel rank
"רס""ן",רסן,officer_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,90,BLOCK,0.88,Major rank abbreviation
רב סרן,רב סרן,officer_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,90,BLOCK,0.88,Major rank
סרן,סרן,officer_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,88,BLOCK,0.88,Captain rank
"סג""מ",סגמ,officer_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,86,BLOCK,0.88,Second lieutenant rank abbreviation
סגן משנה,סגן משנה,officer_rank,public_rank:https://www.psychometry.co.il/idf/ranks.php,86,BLOCK,0.88,Second lieutenant rank
"קמ""א",קמא,officer_rank,public_rank:https://commons.wikimedia.org/wiki/File:IDF_kama.svg,86,BLOCK,0.88,Professional academic officer rank abbreviation
"אמ""ן",אמן,intelligence,public_acronym:https://hadshon.education.gov.il/lexicons/acronyms-and-abbreviations/,96,BLOCK,0.88,IDF Intelligence Directorate acronym
אגף המודיעין,אגף מודיעין,intelligence,idf_public:https://www.idf.il/,96,BLOCK,0.88,IDF Intelligence Directorate
אגף המבצעים,אגף מבצעים,operations,idf_public:https://www.idf.il/,95,BLOCK,0.88,IDF Operations Directorate
"אמ""ץ",אמץ,operations,wiktionary_public:https://he.wiktionary.org/wiki/%D7%90%D7%92%22%D7%9D,94,BLOCK,0.88,Operations Directorate acronym
"אג""ם",אגם,operations,wiktionary_public:https://he.wiktionary.org/wiki/%D7%90%D7%92%22%D7%9D,93,BLOCK,0.88,Operations/general-staff branch acronym
"אכ""א",אכא,manpower_command,idf_public:https://www.idf.il/,90,BLOCK,0.88,IDF Manpower Directorate acronym
"אט""ל",אטל,logistics_command,idf_public:https://www.idf.il/,90,BLOCK,0.88,IDF Technology and Logistics Directorate acronym
אגף התקשוב,אגף התקשוב,cyber_command,idf_public:https://www.idf.il/,92,BLOCK,0.88,IDF C4I/Cyber directorate
"אגף התקשוב וההגנה בסב""ר",אגף התקשוב וההגנה בסבר,cyber_command,idf_public:https://www.idf.il/,94,BLOCK,0.88,IDF C4I and Cyber Defense Directorate
"סב""ר",סבר,cyber_command,idf_public:https://www.idf.il/,90,BLOCK,0.88,Cyber acronym used by IDF public pages
פיקוד הצפון,פיקוד הצפון,regional_command,idf_public:https://www.idf.il/,94,BLOCK,0.88,IDF Northern Command
פיקוד הדרום,פיקוד הדרום,regional_command,idf_public:https://www.idf.il/,94,BLOCK,0.88,IDF Southern Command
פיקוד המרכז,פיקוד המרכז,regional_command,idf_public:https://www.idf.il/,94,BLOCK,0.88,IDF Central Command
פיקוד העורף,פיקוד העורף,regional_command,idf_public:https://www.idf.il/,92,BLOCK,0.88,IDF Home Front Command
זרוע היבשה,זרוע היבשה,military_branch,idf_public:https://www.idf.il/,92,BLOCK,0.88,IDF ground arm
זרוע הים,זרוע הים,military_branch,idf_public:https://www.idf.il/,92,BLOCK,0.88,IDF naval arm
חיל האוויר,חיל האוויר,military_branch,idf_public:https://www.idf.il/,93,BLOCK,0.88,Israeli Air Force
חיל הים,חיל הים,military_branch,idf_public:https://www.idf.il/,92,BLOCK,0.88,Israeli Navy
חיל הקשר,חיל הקשר,military_branch,idf_public:https://www.idf.il/,88,BLOCK,0.88,Signal Corps
כוחות מיוחדים,כוחות מיוחדים,operations,idf_public:https://www.idf.il/,92,BLOCK,0.88,Special forces phrase
תגבור כוחות,תגבור כוחות,operations,idf_public:https://www.idf.il/,90,BLOCK,0.88,Force reinforcement phrase
גיוס מילואים,גיוס מילואים,operations,idf_public:https://www.idf.il/,90,BLOCK,0.88,Reserve mobilization phrase
הערכת מצב,הערכת מצב,operations,idf_public:https://www.idf.il/,88,BLOCK,0.88,Situation assessment phrase
שליטה ובקרה,שליטה ובקרה,operations,idf_public:https://www.idf.il/,88,BLOCK,0.88,Command and control phrase
בור,בור,operations,idf_public:https://www.idf.il/,88,BLOCK,0.88,Command bunker/operations center term in IDF context
"מפא""ת",מפאת,mod_defense_rnd,mod_public:https://www.mod.gov.il/אגפים/מפאת,94,BLOCK,0.88,MoD R&D directorate acronym
מינהל פיתוח אמצעי לחימה ותשתית טכנולוגית,מינהל פיתוח אמצעי לחימה ותשתית טכנולוגית,mod_defense_rnd,mod_public:https://www.mod.gov.il/אגפים/מפאת,94,BLOCK,0.88,MoD MAFAT full name
"מנה""ר",מנהר,mod_procurement,mod_public:https://www.mod.gov.il/,91,BLOCK,0.88,MoD procurement directorate acronym
מינהל ההרכשה והייצור,מינהל ההרכשה והייצור,mod_procurement,mod_public:https://www.mod.gov.il/,91,BLOCK,0.88,MoD procurement and production directorate
סיבט,סיבט,mod_export,mod_public:https://mod.gov.il/en/departments/sibat-international-defense-cooperation,90,BLOCK,0.88,MoD international defense cooperation directorate
"אפ""י",אפי,mod_export_control,mod_public:https://exportctrl.mod.gov.il/about/,90,BLOCK,0.88,MoD defense export control agency acronym
אגף הפיקוח על היצוא הביטחוני,אגף הפיקוח על היצוא הביטחוני,mod_export_control,mod_public:https://exportctrl.mod.gov.il/about/,90,BLOCK,0.88,MoD defense export control agency
"רח""ל",רחל,national_emergency,mod_public:https://www.mod.gov.il/,88,BLOCK,0.88,National Emergency Authority acronym
רשות החירום הלאומית,רשות החירום הלאומית,national_emergency,mod_public:https://www.mod.gov.il/,88,BLOCK,0.88,National Emergency Authority
"מלמ""ב",מלמב,defense_security,mod_public:https://www.mod.gov.il/,92,BLOCK,0.88,Defense establishment security director acronym
"משהב""ט",משהבט,mod_identity,mod_public:https://www.mod.gov.il/,88,BLOCK,0.88,Ministry of Defense acronym
אוגדה,אוגדה,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדות,אוגדות,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדת,אוגדת,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתי,אוגדתי,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתיות,אוגדתיות,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתיים,אוגדתיים,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתית,אוגדתית,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתם,אוגדתם,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
אוגדתן,אוגדתן,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
ארטילרי,ארטילרי,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
ארטילריה,ארטילריה,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
ארטילריות,ארטילריות,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
ארטילריים,ארטילריים,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
ארטילרית,ארטילרית,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
בונקר,בונקר,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
בונקרים,בונקרים,military_assets,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: military_assets
הצנח,הצנח,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחה,הצנחה,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחות,הצנחות,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחנו,הצנחנו,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחת,הצנחת,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחתי,הצנחתי,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחתם,הצנחתם,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
הצנחתן,הצנחתן,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמש,התחמש,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשה,התחמשה,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשו,התחמשו,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשויות,התחמשויות,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשות,התחמשות,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשי,התחמשי,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשנו,התחמשנו,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשת,התחמשת,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשתי,התחמשתי,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשתם,התחמשתם,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
התחמשתן,התחמשתן,operations,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: operations
חטיבות,חטיבות,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
חטיבתי,חטיבתי,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
חטיבתיות,חטיבתיות,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
חטיבתיים,חטיבתיים,command_structure,eyaler/hebrew_wordlists:hspell_simple.txt+atlas_heuristic_blacklist,90,BLOCK,0.72,Promoted from cloned lexicon by sensitive pattern category: command_structure
